id,class
2001,N
2002,N
2003,N
2004,N
2005,N
2006,N
2007,N
2008,N
2009,IE
2010,N
2011,N
2012,N
2013,N
2014,N
2015,N
2016,N
2017,N
2018,N
2019,N
2020,N
2021,N
2022,N
2023,IE
2024,N
2025,IE
2026,N
2027,N
2028,N
2029,N
2030,N
2031,N
2032,N
2033,IE
2034,N
2035,N
2036,N
2037,N
2038,N
2039,N
2040,N
2041,N
2042,N
2043,N
2044,N
2045,N
2046,N
2047,N
2048,N
2049,N
2050,N
2051,N
2052,N
2053,N
2054,N
2055,N
2056,N
2057,N
2058,N
2059,N
2060,N
2061,N
2062,N
2063,N
2064,N
2065,IE
2066,N
2067,N
2068,N
2069,N
2070,N
2071,N
2072,N
2073,N
2074,IE
2075,N
2076,N
2077,N
2078,N
2079,N
2080,N
2081,N
2082,N
2083,N
2084,EI
2085,N
2086,IE
2087,N
2088,N
2089,N
2090,N
2091,N
2092,IE
2093,N
2094,N
2095,N
2096,N
2097,N
2098,N
2099,N
2100,N
2101,N
2102,N
2103,N
2104,N
2105,N
2106,N
2107,N
2108,N
2109,EI
2110,N
2111,N
2112,N
2113,N
2114,N
2115,N
2116,N
2117,N
2118,IE
2119,EI
2120,N
2121,N
2122,N
2123,N
2124,N
2125,N
2126,N
2127,IE
2128,N
2129,N
2130,N
2131,N
2132,N
2133,N
2134,N
2135,N
2136,N
2137,N
2138,N
2139,N
2140,IE
2141,IE
2142,N
2143,N
2144,N
2145,N
2146,N
2147,N
2148,N
2149,N
2150,N
2151,N
2152,EI
2153,N
2154,EI
2155,N
2156,N
2157,N
2158,N
2159,IE
2160,N
2161,N
2162,N
2163,N
2164,N
2165,N
2166,N
2167,IE
2168,N
2169,N
2170,N
2171,N
2172,N
2173,N
2174,N
2175,IE
2176,N
2177,N
2178,N
2179,N
2180,N
2181,N
2182,N
2183,N
2184,IE
2185,N
2186,N
2187,N
2188,EI
2189,N
2190,N
2191,N
2192,N
2193,N
2194,N
2195,N
2196,IE
2197,N
2198,N
2199,IE
2200,IE
2201,N
2202,N
2203,N
2204,N
2205,IE
2206,N
2207,N
2208,N
2209,N
2210,IE
2211,N
2212,N
2213,N
2214,N
2215,N
2216,N
2217,N
2218,IE
2219,N
2220,N
2221,N
2222,N
2223,EI
2224,N
2225,N
2226,N
2227,N
2228,N
2229,N
2230,N
2231,N
2232,N
2233,N
2234,N
2235,N
2236,N
2237,N
2238,IE
2239,N
2240,N
2241,N
2242,N
2243,N
2244,N
2245,N
2246,N
2247,N
2248,N
2249,EI
2250,N
2251,IE
2252,IE
2253,IE
2254,N
2255,N
2256,N
2257,N
2258,N
2259,N
2260,N
2261,N
2262,IE
2263,EI
2264,EI
2265,N
2266,N
2267,N
2268,EI
2269,EI
2270,N
2271,N
2272,IE
2273,N
2274,N
2275,N
2276,N
2277,N
2278,N
2279,IE
2280,N
2281,N
2282,N
2283,N
2284,N
2285,N
2286,N
2287,N
2288,N
2289,N
2290,N
2291,N
2292,N
2293,N
2294,IE
2295,N
2296,IE
2297,N
2298,N
2299,N
2300,N
2301,EI
2302,N
2303,N
2304,N
2305,N
2306,N
2307,N
2308,N
2309,N
2310,EI
2311,EI
2312,N
2313,N
2314,N
2315,N
2316,N
2317,N
2318,N
2319,EI
2320,N
2321,N
2322,N
2323,N
2324,N
2325,N
2326,N
2327,N
2328,N
2329,N
2330,N
2331,N
2332,N
2333,EI
2334,N
2335,N
2336,N
2337,N
2338,N
2339,N
2340,N
2341,N
2342,N
2343,N
2344,N
2345,N
2346,N
2347,N
2348,N
2349,IE
2350,IE
2351,IE
2352,IE
2353,N
2354,N
2355,N
2356,N
2357,N
2358,N
2359,N
2360,N
2361,N
2362,N
2363,N
2364,N
2365,N
2366,N
2367,N
2368,N
2369,N
2370,IE
2371,N
2372,N
2373,N
2374,N
2375,N
2376,N
2377,N
2378,IE
2379,N
2380,N
2381,IE
2382,N
2383,N
2384,N
2385,N
2386,N
2387,N
2388,EI
2389,N
2390,N
2391,N
2392,N
2393,N
2394,N
2395,N
2396,EI
2397,N
2398,N
2399,N
2400,N
2401,N
2402,N
2403,N
2404,IE
2405,N
2406,N
2407,N
2408,N
2409,N
2410,N
2411,N
2412,N
2413,N
2414,N
2415,N
2416,N
2417,N
2418,IE
2419,N
2420,N
2421,N
2422,EI
2423,N
2424,N
2425,N
2426,N
2427,N
2428,N
2429,EI
2430,N
2431,N
2432,N
2433,N
2434,IE
2435,N
2436,N
2437,N
2438,N
2439,N
2440,EI
2441,N
2442,N
2443,N
2444,N
2445,N
2446,N
2447,IE
2448,N
2449,N
2450,N
2451,N
2452,EI
2453,N
2454,N
2455,N
2456,N
2457,N
2458,N
2459,IE
2460,IE
2461,IE
2462,N
2463,N
2464,EI
2465,N
2466,N
2467,N
2468,N
2469,N
2470,N
2471,IE
2472,N
2473,EI
2474,N
2475,N
2476,IE
2477,IE
2478,N
2479,N
2480,N
2481,N
2482,N
2483,N
2484,N
2485,EI
2486,N
2487,N
2488,N
2489,IE
2490,N
2491,N
2492,N
2493,N
2494,N
2495,N
2496,EI
2497,N
2498,IE
2499,N
2500,N
2501,IE
2502,N
2503,EI
2504,N
2505,IE
2506,N
2507,N
2508,N
2509,EI
2510,N
2511,N
2512,N
2513,N
2514,N
2515,N
2516,EI
2517,N
2518,EI
2519,IE
2520,EI
2521,N
2522,N
2523,N
2524,N
2525,N
2526,N
2527,N
2528,N
2529,N
2530,N
2531,N
2532,N
2533,N
2534,N
2535,N
2536,N
2537,N
2538,N
2539,EI
2540,N
2541,N
2542,N
2543,N
2544,N
2545,IE
2546,N
2547,N
2548,N
2549,N
2550,N
2551,N
2552,N
2553,N
2554,IE
2555,N
2556,N
2557,N
2558,N
2559,IE
2560,N
2561,N
2562,N
2563,N
2564,EI
2565,N
2566,IE
2567,N
2568,N
2569,IE
2570,N
2571,N
2572,N
2573,N
2574,N
2575,EI
2576,N
2577,N
2578,N
2579,N
2580,N
2581,N
2582,N
2583,N
2584,N
2585,IE
2586,N
2587,N
2588,N
2589,N
2590,N
2591,N
2592,N
2593,N
2594,N
2595,EI
2596,N
2597,N
2598,N
2599,IE
2600,N
2601,N
2602,N
2603,N
2604,N
2605,N
2606,N
2607,N
2608,IE
2609,N
2610,EI
2611,N
2612,N
2613,N
2614,IE
2615,IE
2616,EI
2617,N
2618,N
2619,IE
2620,N
2621,N
2622,IE
2623,N
2624,N
2625,N
2626,N
2627,N
2628,N
2629,N
2630,N
2631,N
2632,EI
2633,N
2634,N
2635,N
2636,N
2637,EI
2638,N
2639,N
2640,N
2641,N
2642,N
2643,IE
2644,N
2645,N
2646,N
2647,N
2648,N
2649,N
2650,N
2651,N
2652,IE
2653,N
2654,N
2655,N
2656,N
2657,N
2658,N
2659,EI
2660,EI
2661,N
2662,N
2663,N
2664,N
2665,N
2666,N
2667,EI
2668,N
2669,N
2670,N
2671,N
2672,N
2673,N
2674,N
2675,IE
2676,IE
2677,IE
2678,IE
2679,IE
2680,N
2681,IE
2682,IE
2683,N
2684,N
2685,N
2686,N
2687,N
2688,N
2689,N
2690,EI
2691,EI
2692,N
2693,N
2694,N
2695,N
2696,N
2697,N
2698,N
2699,IE
2700,N
2701,N
2702,N
2703,N
2704,N
2705,N
2706,N
2707,IE
2708,N
2709,EI
2710,N
2711,N
2712,N
2713,N
2714,N
2715,N
2716,EI
2717,N
2718,IE
2719,IE
2720,N
2721,N
2722,N
2723,N
2724,EI
2725,N
2726,N
2727,IE
2728,N
2729,N
2730,N
2731,N
2732,N
2733,N
2734,N
2735,N
2736,N
2737,N
2738,N
2739,N
2740,N
2741,N
2742,IE
2743,N
2744,N
2745,N
2746,N
2747,N
2748,N
2749,N
2750,N
2751,IE
2752,N
2753,N
2754,N
2755,N
2756,N
2757,N
2758,N
2759,N
2760,N
2761,N
2762,N
2763,N
2764,N
2765,N
2766,N
2767,N
2768,N
2769,N
2770,EI
2771,EI
2772,N
2773,N
2774,IE
2775,IE
2776,N
2777,N
2778,IE
2779,N
2780,N
2781,N
2782,N
2783,N
2784,N
2785,IE
2786,N
2787,N
2788,N
2789,N
2790,N
2791,N
2792,EI
2793,N
2794,IE
2795,IE
2796,IE
2797,N
2798,IE
2799,EI
2800,N
2801,N
2802,N
2803,N
2804,N
2805,N
2806,IE
2807,N
2808,IE
2809,IE
2810,IE
2811,N
2812,N
2813,N
2814,N
2815,N
2816,N
2817,IE
2818,N
2819,N
2820,N
2821,N
2822,N
2823,N
2824,N
2825,N
2826,N
2827,N
2828,N
2829,IE
2830,N
2831,N
2832,IE
2833,N
2834,N
2835,N
2836,N
2837,N
2838,N
2839,IE
2840,N
2841,N
2842,N
2843,EI
2844,N
2845,N
2846,N
2847,IE
2848,N
2849,N
2850,N
2851,IE
2852,N
2853,IE
2854,IE
2855,IE
2856,N
2857,N
2858,N
2859,IE
2860,N
2861,IE
2862,N
2863,N
2864,IE
2865,N
2866,IE
2867,N
2868,N
2869,N
2870,IE
2871,N
2872,EI
2873,EI
2874,N
2875,N
2876,N
2877,N
2878,N
2879,N
2880,N
2881,N
2882,N
2883,N
2884,EI
2885,IE
2886,N
2887,N
2888,N
2889,IE
2890,IE
2891,N
2892,N
2893,N
2894,N
2895,EI
2896,IE
2897,N
2898,N
2899,N
2900,N
2901,N
2902,N
2903,N
2904,N
2905,N
2906,N
2907,IE
2908,IE
2909,IE
2910,IE
2911,N
2912,N
2913,EI
2914,N
2915,IE
2916,N
2917,N
2918,N
2919,N
2920,N
2921,N
2922,N
2923,N
2924,N
2925,N
2926,N
2927,N
2928,EI
2929,N
2930,N
2931,N
2932,EI
2933,N
2934,N
2935,N
2936,N
2937,N
2938,N
2939,IE
2940,N
2941,N
2942,N
2943,N
2944,IE
2945,IE
2946,N
2947,N
2948,N
2949,IE
2950,N
2951,N
2952,N
2953,N
2954,N
2955,N
2956,N
2957,N
2958,N
2959,N
2960,N
2961,EI
2962,N
2963,EI
2964,N
2965,IE
2966,N
2967,EI
2968,N
2969,N
2970,N
2971,IE
2972,IE
2973,N
2974,N
2975,N
2976,N
2977,N
2978,N
2979,IE
2980,N
2981,N
2982,N
2983,N
2984,N
2985,N
2986,EI
2987,N
2988,N
2989,IE
2990,N
2991,IE
2992,N
2993,N
2994,N
2995,N
2996,N
2997,EI
2998,N
2999,IE
3000,N
3001,EI
3002,N
3003,N
3004,EI
3005,IE
3006,EI
3007,EI
3008,EI
3009,EI
3010,N
3011,EI
3012,N
3013,IE
3014,N
3015,N
3016,N
3017,IE
3018,N
3019,N
3020,N
3021,N
3022,IE
3023,N
3024,EI
3025,N
3026,N
3027,N
3028,IE
3029,EI
3030,N
3031,N
3032,N
3033,N
3034,N
3035,N
3036,N
3037,EI
3038,N
3039,N
3040,N
3041,N
3042,N
3043,N
3044,N
3045,IE
3046,N
3047,EI
3048,N
3049,N
3050,N
3051,IE
3052,EI
3053,N
3054,N
3055,IE
3056,IE
3057,N
3058,N
3059,N
3060,N
3061,N
3062,N
3063,N
3064,N
3065,N
3066,N
3067,N
3068,N
3069,N
3070,N
3071,N
3072,EI
3073,EI
3074,N
3075,N
3076,N
3077,N
3078,N
3079,N
3080,IE
3081,N
3082,N
3083,IE
3084,EI
3085,N
3086,N
3087,IE
3088,N
3089,IE
3090,N
3091,N
3092,N
3093,N
3094,EI
3095,N
3096,IE
3097,N
3098,IE
3099,N
3100,N
3101,N
3102,N
3103,N
3104,IE
3105,N
3106,N
3107,N
3108,N
3109,N
3110,N
3111,N
3112,N
3113,N
3114,N
3115,N
3116,N
3117,N
3118,N
3119,N
3120,N
3121,N
3122,N
3123,N
3124,N
3125,N
3126,N
3127,N
3128,N
3129,N
3130,N
3131,N
3132,N
3133,N
3134,EI
3135,N
3136,N
3137,N
3138,N
3139,N
3140,IE
3141,N
3142,N
3143,N
3144,EI
3145,IE
3146,N
3147,IE
3148,N
3149,N
3150,N
3151,N
3152,N
3153,N
3154,N
3155,N
3156,N
3157,N
3158,IE
3159,N
3160,N
3161,N
3162,N
3163,N
3164,N
3165,N
3166,N
3167,EI
3168,N
3169,IE
3170,N
3171,N
3172,N
3173,N
3174,N
3175,IE
3176,IE
3177,N
3178,N
3179,IE
3180,N
3181,EI
3182,N
3183,N
3184,N
3185,N
3186,N
3187,N
3188,N
3189,N
3190,N
